metric,value
center_bank.reference_pool_ids[310],1564
center_bank.reference_pool_ids[311],1783
center_bank.reference_pool_ids[312],2537
center_bank.reference_pool_ids[313],3152
center_bank.reference_pool_ids[314],3755
center_bank.reference_pool_ids[315],1028
center_bank.reference_pool_ids[316],2491
center_bank.reference_pool_ids[317],3144
center_bank.reference_pool_ids[318],1508
center_bank.reference_pool_ids[319],2165
center_bank.reference_pool_ids[320],2344
center_bank.reference_pool_ids[321],742
center_bank.reference_pool_ids[322],153
center_bank.reference_pool_ids[323],387
center_bank.reference_pool_ids[324],3221
center_bank.reference_pool_ids[325],2248
center_bank.reference_pool_ids[326],646
center_bank.reference_pool_ids[327],826
center_bank.reference_pool_ids[328],1461
center_bank.reference_pool_ids[329],1385
center_bank.reference_pool_ids[330],766
center_bank.reference_pool_ids[331],2240
center_bank.reference_pool_ids[332],4018
center_bank.reference_pool_ids[333],884
center_bank.reference_pool_ids[334],2700
center_bank.reference_pool_ids[335],938
center_bank.reference_pool_ids[336],120
center_bank.reference_pool_ids[337],1437
center_bank.reference_pool_ids[338],3975
center_bank.reference_pool_ids[339],593
center_bank.reference_pool_ids[340],3864
center_bank.reference_pool_ids[341],2457
center_bank.reference_pool_ids[342],3468
center_bank.reference_pool_ids[343],1934
center_bank.reference_pool_ids[344],1223
center_bank.reference_pool_ids[345],2539
center_bank.reference_pool_ids[346],2189
center_bank.reference_pool_ids[347],3922
center_bank.reference_pool_ids[348],2821
center_bank.reference_pool_ids[349],3142
center_bank.reference_pool_ids[350],605
center_bank.reference_pool_ids[351],3374
center_bank.reference_pool_ids[352],1869
center_bank.reference_pool_ids[353],1962
center_bank.reference_pool_ids[354],940
center_bank.reference_pool_ids[355],1341
center_bank.reference_pool_ids[356],1955
center_bank.reference_pool_ids[357],3335
center_bank.reference_pool_ids[358],2239
center_bank.reference_pool_ids[359],1596
center_bank.reference_pool_ids[360],1425
center_bank.reference_pool_ids[361],1157
center_bank.reference_pool_ids[362],1568
center_bank.reference_pool_ids[363],2927
center_bank.reference_pool_ids[364],2170
center_bank.reference_pool_ids[365],2486
center_bank.reference_pool_ids[366],3105
center_bank.reference_pool_ids[367],510
center_bank.reference_pool_ids[368],3693
center_bank.reference_pool_ids[369],229
center_bank.reference_pool_ids[370],2075
center_bank.reference_pool_ids[371],891
center_bank.reference_pool_ids[372],1457
center_bank.reference_pool_ids[373],2357
center_bank.reference_pool_ids[374],2895
center_bank.reference_pool_ids[375],1871
center_bank.reference_pool_ids[376],800
center_bank.reference_pool_ids[377],3066
center_bank.reference_pool_ids[378],1770
center_bank.reference_pool_ids[379],3010
center_bank.reference_pool_ids[380],320
center_bank.reference_pool_ids[381],855
center_bank.reference_pool_ids[382],575
center_bank.reference_pool_ids[383],1486
center_bank.reference_pool_ids[384],2477
center_bank.reference_pool_ids[385],3071
center_bank.reference_pool_ids[386],2094
center_bank.reference_pool_ids[387],633
center_bank.reference_pool_ids[388],2601
center_bank.reference_pool_ids[389],1831
center_bank.reference_pool_ids[390],2793
center_bank.reference_pool_ids[391],3907
center_bank.reference_pool_ids[392],3192
center_bank.reference_pool_ids[393],3685
center_bank.reference_pool_ids[394],110
center_bank.reference_pool_ids[395],923
center_bank.reference_pool_ids[396],3306
center_bank.reference_pool_ids[397],746
center_bank.reference_pool_ids[398],1787
center_bank.reference_pool_ids[399],3229
center_bank.reference_pool_ids[400],1174
center_bank.reference_pool_ids[401],512
center_bank.reference_pool_ids[402],1595
center_bank.reference_pool_ids[403],269
center_bank.reference_pool_ids[404],3768
center_bank.reference_pool_ids[405],3761
center_bank.reference_pool_ids[406],402
center_bank.reference_pool_ids[407],3945
center_bank.reference_pool_ids[408],2353
center_bank.reference_pool_ids[409],1711
center_bank.reference_pool_ids[410],807
center_bank.reference_pool_ids[411],877
center_bank.reference_pool_ids[412],1957
center_bank.reference_pool_ids[413],3882
center_bank.reference_pool_ids[414],1972
center_bank.reference_pool_ids[415],2479
center_bank.reference_pool_ids[416],3720
center_bank.reference_pool_ids[417],3889
center_bank.reference_pool_ids[418],3422
center_bank.reference_pool_ids[419],2172
center_bank.reference_pool_ids[420],2651
center_bank.reference_pool_ids[421],1285
center_bank.reference_pool_ids[422],1079
center_bank.reference_pool_ids[423],2107
center_bank.reference_pool_ids[424],735
center_bank.reference_pool_ids[425],2807
center_bank.reference_pool_ids[426],2185
center_bank.reference_pool_ids[427],2693
center_bank.reference_pool_ids[428],2917
center_bank.reference_pool_ids[429],1979
center_bank.reference_pool_ids[430],1539
center_bank.reference_pool_ids[431],563
center_bank.reference_pool_ids[432],1280
center_bank.reference_pool_ids[433],3019
center_bank.reference_pool_ids[434],73
center_bank.reference_pool_ids[435],3531
center_bank.reference_pool_ids[436],2061
center_bank.reference_pool_ids[437],1915
center_bank.reference_pool_ids[438],1127
center_bank.reference_pool_ids[439],3714
center_bank.reference_pool_ids[440],1260
center_bank.reference_pool_ids[441],821
center_bank.reference_pool_ids[442],1507
center_bank.reference_pool_ids[443],257
center_bank.reference_pool_ids[444],1732
center_bank.reference_pool_ids[445],248
center_bank.reference_pool_ids[446],1614
center_bank.reference_pool_ids[447],3036
center_bank.reference_pool_ids[448],3701
center_bank.reference_pool_ids[449],2510
center_bank.reference_pool_ids[450],168
center_bank.reference_pool_ids[451],2402
center_bank.reference_pool_ids[452],1759
center_bank.reference_pool_ids[453],4062
center_bank.reference_pool_ids[454],3642
center_bank.reference_pool_ids[455],2724
center_bank.reference_pool_ids[456],294
center_bank.reference_pool_ids[457],3941
center_bank.reference_pool_ids[458],375
center_bank.reference_pool_ids[459],1854
center_bank.reference_pool_ids[460],546
center_bank.reference_pool_ids[461],503
center_bank.reference_pool_ids[462],2256
center_bank.reference_pool_ids[463],1326
center_bank.reference_pool_ids[464],464
center_bank.reference_pool_ids[465],2115
center_bank.reference_pool_ids[466],3404
center_bank.reference_pool_ids[467],702
center_bank.reference_pool_ids[468],3355
center_bank.reference_pool_ids[469],2047
center_bank.reference_pool_ids[470],3187
center_bank.reference_pool_ids[471],1148
center_bank.reference_pool_ids[472],2852
center_bank.reference_pool_ids[473],1056
center_bank.reference_pool_ids[474],2111
center_bank.reference_pool_ids[475],2488
center_bank.reference_pool_ids[476],3301
center_bank.reference_pool_ids[477],2374
center_bank.reference_pool_ids[478],199
center_bank.reference_pool_ids[479],3862
center_bank.reference_pool_ids[480],701
center_bank.reference_pool_ids[481],2602
center_bank.reference_pool_ids[482],3356
center_bank.reference_pool_ids[483],903
center_bank.reference_pool_ids[484],2066
center_bank.reference_pool_ids[485],2938
center_bank.reference_pool_ids[486],520
center_bank.reference_pool_ids[487],947
center_bank.reference_pool_ids[488],1268
center_bank.reference_pool_ids[489],1100
center_bank.reference_pool_ids[490],3538
center_bank.reference_pool_ids[491],380
center_bank.reference_pool_ids[492],1195
center_bank.reference_pool_ids[493],1624
center_bank.reference_pool_ids[494],1890
center_bank.reference_pool_ids[495],422
center_bank.reference_pool_ids[496],3155
center_bank.reference_pool_ids[497],3059
center_bank.reference_pool_ids[498],3097
center_bank.reference_pool_ids[499],2545
center_bank.reference_pool_ids[500],371
center_bank.reference_pool_ids[501],1069
center_bank.reference_pool_ids[502],1753
center_bank.reference_pool_ids[503],2915
center_bank.reference_pool_ids[504],1718
center_bank.reference_pool_ids[505],3565
center_bank.reference_pool_ids[506],4001
center_bank.reference_pool_ids[507],1286
center_bank.reference_pool_ids[508],2818
center_bank.reference_pool_ids[509],2494
center_bank.reference_pool_ids[510],2416
center_bank.reference_pool_ids[511],152
center_bank.reference_pool_ids[512],246
center_bank.reference_pool_ids[513],2543
center_bank.reference_pool_ids[514],1448
center_bank.reference_pool_ids[515],2797
center_bank.reference_pool_ids[516],953
center_bank.reference_pool_ids[517],3389
center_bank.reference_pool_ids[518],1117
center_bank.reference_pool_ids[519],707
center_bank.reference_pool_ids[520],254
center_bank.reference_pool_ids[521],3254
center_bank.reference_pool_ids[522],3388
center_bank.reference_pool_ids[523],215
center_bank.reference_pool_ids[524],2286
center_bank.reference_pool_ids[525],3145
center_bank.reference_pool_ids[526],1835
center_bank.reference_pool_ids[527],1318
center_bank.reference_pool_ids[528],1639
center_bank.reference_pool_ids[529],3183
center_bank.reference_pool_ids[530],1919
center_bank.reference_pool_ids[531],2785
center_bank.reference_pool_ids[532],1308
center_bank.reference_pool_ids[533],2234
center_bank.reference_pool_ids[534],2174
center_bank.reference_pool_ids[535],1724
center_bank.reference_pool_ids[536],347
center_bank.reference_pool_ids[537],3513
center_bank.reference_pool_ids[538],413
center_bank.reference_pool_ids[539],1776
center_bank.reference_pool_ids[540],454
center_bank.reference_pool_ids[541],3634
center_bank.reference_pool_ids[542],2004
center_bank.reference_pool_ids[543],958
center_bank.reference_pool_ids[544],3423
center_bank.reference_pool_ids[545],319
center_bank.reference_pool_ids[546],2911
center_bank.reference_pool_ids[547],1192
center_bank.reference_pool_ids[548],2100
center_bank.reference_pool_ids[549],458
center_bank.reference_pool_ids[550],662
center_bank.reference_pool_ids[551],459
center_bank.reference_pool_ids[552],1252
center_bank.reference_pool_ids[553],4074
center_bank.reference_pool_ids[554],1535
