metric,value
version,0.8.6
scope,fixed latent continuous zero-set source experiment; no novelty or physical-radiometry claim
plane_source_integral.plot.translation[59],-0.15500000000000003
plane_source_integral.plot.translation[60],-0.15000000000000002
plane_source_integral.plot.translation[61],-0.14500000000000002
plane_source_integral.plot.translation[62],-0.14
plane_source_integral.plot.translation[63],-0.135
plane_source_integral.plot.translation[64],-0.13
plane_source_integral.plot.translation[65],-0.125
plane_source_integral.plot.translation[66],-0.12
plane_source_integral.plot.translation[67],-0.11499999999999999
plane_source_integral.plot.translation[68],-0.10999999999999999
plane_source_integral.plot.translation[69],-0.10499999999999998
plane_source_integral.plot.translation[70],-0.09999999999999998
plane_source_integral.plot.translation[71],-0.09500000000000003
plane_source_integral.plot.translation[72],-0.09000000000000002
plane_source_integral.plot.translation[73],-0.08500000000000002
plane_source_integral.plot.translation[74],-0.08000000000000002
plane_source_integral.plot.translation[75],-0.07500000000000001
plane_source_integral.plot.translation[76],-0.07
plane_source_integral.plot.translation[77],-0.065
plane_source_integral.plot.translation[78],-0.06
plane_source_integral.plot.translation[79],-0.05499999999999999
plane_source_integral.plot.translation[80],-0.04999999999999999
plane_source_integral.plot.translation[81],-0.044999999999999984
plane_source_integral.plot.translation[82],-0.03999999999999998
plane_source_integral.plot.translation[83],-0.034999999999999976
plane_source_integral.plot.translation[84],-0.030000000000000027
plane_source_integral.plot.translation[85],-0.025000000000000022
plane_source_integral.plot.translation[86],-0.020000000000000018
plane_source_integral.plot.translation[87],-0.015000000000000013
plane_source_integral.plot.translation[88],-0.010000000000000009
plane_source_integral.plot.translation[89],-0.0050000000000000044
plane_source_integral.plot.translation[90],0.0
